TEXT,LABEL,Category
they get into the corners as described and are flexible yet firm .,1,mixed
"scarlet diva has a voyeuristic tug , but all in all it 's a lot less sensational than it wants to be .",0,mixed
it worked great for the first couple of weeks then it just stopped completely .,0,mixed
either than or the developers decided to do their own .,0,mixed
"also ,  it creates more static than the one i m used to .",0,mixed
"stars matthew perry and elizabeth hurley illicit more than a chuckle , and more jokes land than crash , but ultimately serving sara does n't distinguish itself from the herd .",0,mixed
"and ,  there were many things we liked about this game .",0,mixed
i miss my days of cracker eating before becoming gluten free .,0,mixed
so not that great for leaving on at night .,0,mixed
imagine the james woods character from videodrome making a home movie of audrey rose and showing it to the kid from the sixth sense and you 've imagined the ring .,0,mixed
i don t see what others have liked about this .,0,mixed
"dialogue-heavy and too cerebral for its own good -- or , at any rate , too cerebral for its racy subject matter .",0,mixed
so far i am not at all happy .,0,mixed
it is best to invest in a good set of makeup brushes .,0,mixed
there are films that try the patience of even the most cinema-besotted critic -- and this was one of them .,0,mixed
$ is too much to pay for a $ cable .,0,mixed
but it pays a price for its intricate intellectual gamesmanship .,0,mixed
like how many times you face the nazgul and how easily they are beaten .,0,mixed
beyond a handful of mildly amusing lines ... there just is n't much to laugh at .,0,mixed
spent more time fiddling with this than i did looking at the road .,0,mixed
i loved the food for my cats as you can read below .,0,mixed
"num_extend has much better graphics ,  better sound ,  slightly better control .",0,mixed
there is no menu selection for find free books .,0,mixed
and i wanted them all to be easy to access .,0,mixed
i did not have what i felt were unrealistic expectations of this device .,1,mixed
"sunshine state lacks the kind of dynamic that limbo offers , and in some ways is a rather indulgent piece .",0,mixed
"unfortunately ,  not my blackberry nor my cell phone .",0,mixed
i do n't think i 've been as entranced and appalled by an asian film since shinya tsukamoto 's iron man .,1,mixed
"whether you 're moved and love it , or bored or frustrated by the film , you 'll still feel something .",1,mixed
"truth to tell , if you 've seen more than half-a-dozen horror films , there 's nothing here you have n't seen before .",0,mixed
"as adapted by kevin molony from simon leys ' novel `` the death of napoleon '' and directed by alan taylor , napoleon 's journey is interesting but his parisian rebirth is stillborn",0,mixed
they have a medium pile lining that has more of a stiffer polyester feel .,0,mixed
"though everything might be literate and smart , it never took off and always seemed static .",0,mixed
it 's also heavy-handed and devotes too much time to bigoted views .,0,mixed
plus its from amazon and amazon wouldn t put their name on crap .,1,mixed
"i ll stick to my xbox for now ,  thanks .",0,mixed
"it feels like a community theater production of a great broadway play : even at its best , it will never hold a candle to the original .",0,mixed
"... perhaps the heaviest , most joyless movie ever made about giant dragons taking over the world .",0,mixed
"a graceless , witless attempt at mating some like it hot with the wwii espionage thriller .",0,mixed
"first good , then bothersome .",0,mixed
my wife despises window fans usually and she loves this thing too .,1,mixed
"helmer devito ... attempts to do too many things in this story about ethics , payola , vice , murder , kids ' tv and revenge .",0,mixed
most operations there is a noticable delay lag of num_extend to num_num seconds .,0,mixed
i was surprised as the box seemed to be in good shape .,0,mixed
that does not hold true for this product .,0,mixed
"an impossible romance , but we root for the patronized iranian lad .",1,mixed
"i did n't laugh at the ongoing efforts of cube , and his skinny buddy mike epps , to make like laurel and hardy 'n the hood .",0,mixed
i ve not been terribly impressed with this box .,0,mixed
"spyro games always used to be fun ,  but that tradition ends here .",0,mixed
this case is cute however the is the only good thing about it .,0,mixed
you 'll have more fun setting fire to yourself in the parking lot .,0,mixed
"the film would work much better as a video installation in a museum , where viewers would be free to leave .",0,mixed
also the headphones do not feel comfortable on your head .,0,mixed
you 'll be more entertained getting hit by a bus .,0,mixed
a waste of good performances .,0,mixed
"home alone goes hollywood , a funny premise until the kids start pulling off stunts not even steven spielberg would know how to do .",0,mixed
gave it to someone named happy on her birthday .,0,mixed
begins as a promising meditation on one of america 's most durable obsessions but winds up as a slender cinematic stunt .,0,mixed
"i 'm not suggesting that you actually see it , unless you 're the kind of person who has seen every wim wenders film of the '70s .",0,mixed
obviously we all have our own preferences for taste .,0,mixed
the aluminum ones get stained and ugly after a few uses .,1,mixed
worked best on older new england house with narrow staircase .,0,mixed
good thing filters for num_num gallon tanks are cheap .,0,mixed
"this is a fantastic idea ,  however it has some flaws .",0,mixed
this is n't a `` friday '' worth waiting for .,0,mixed
"not so much funny as aggressively sitcom-cute , it 's full of throwaway one-liners , not-quite jokes , and a determined tv amiability that allen personifies .",0,mixed
some reviewers complained of grounds in the coffee .,1,mixed
i love cheetos and any artificially or naturally enhanced cheese snack .,0,mixed
what might have been a predictably heartwarming tale is suffused with complexity .,1,mixed
we have used ours at least a couple of hundred times .,1,mixed
the good pieces that i manages to salvage the birds refuse to touch .,0,mixed
also the  free will  option is an absolute joke .,0,mixed
"instead of kicking off the intrigue and suspense and mystery of the whole thing , hart 's war , like the st. louis rams in the super bowl , waits until after halftime to get started .",0,mixed
i d rather be a little less healthy and a little more happy .,0,mixed
i m sure it depends on your age and body type .,0,mixed
"a gentle , compassionate drama about grief and healing .",1,mixed
i was not at all pleased with the performance of this chopper .,0,mixed
that s not what it felt like with the original gel adhesive .,0,mixed
"for all its failed connections , divine secrets of the ya-ya sisterhood is nurturing , in a gauzy , dithering way .",1,mixed
you can go to any chain store and do better .,0,mixed
"got all excited ,  but this taste nohthing like honey at all .",0,mixed
"the writers , director wally wolodarsky , and all the actors should start their own coeducational fraternity : kappa rho alpha phi .",0,mixed
then i thought something was wrong with my car .,1,mixed
me too is a nice brand and make very comfortable shoes .,0,mixed
proves that a movie about goodness is not the same thing as a good movie .,0,mixed
"all ends well , sort of , but the frenzied comic moments never click .",0,mixed
i ve had many lighters and this one might be the best .,0,mixed
marineland does a very good job with their led aquarium systems .,0,mixed
remember when bond had more glamour than clamor ?,0,mixed
... surprisingly inert for a movie in which the main character travels back and forth between epochs .,0,mixed
the concept was great and it worked very well when it worked .,0,mixed
the transmit strength on this compact num_extend is pretty strong .,0,mixed
most products are for dandruff caused by dry scalp .,0,mixed
"still , i 'm not quite sure what the point is ...",0,mixed
absolutely horrid; cheaper @ costco if you must .,0,mixed
"you would be better off investing in the worthy emi recording that serves as the soundtrack , or the home video of the 1992 malfitano-domingo production .",0,mixed
bullock 's complete lack of focus and ability quickly derails the film,0,mixed
insert the micro usb to your phone and enjoy your widescreen display .,0,mixed
this case looks nice but that s about it .,0,mixed
"yes ,  it is plastic ,  but not cheap plastic .",1,mixed
this idea has lost its originality ... and neither star appears very excited at rehashing what was basically a one-joke picture .,0,mixed
the original unreal tournament is the very definition of fun .,0,mixed
"as an actor , the rock is aptly named .",0,mixed
bought this for use to hold my droid incredible .,0,mixed
it really is like they didn t take anything at all .,0,mixed
if you have soft facial fair then by all means use these razors .,0,mixed
son of the bride may be a good half-hour too long but comes replete with a flattering sense of mystery and quietness .,0,mixed
"it 's hard not to be seduced by -lrb- witherspoon 's -rrb- charisma , even in this run-of-the-mill vehicle , because this girl knows how to drive it to the max .",1,mixed
short blades and longer handles give you the leverage you need for tough cutting .,1,mixed
this ring looked beautiful on out of the box .,0,mixed
i m starting to hate it because i don t need to upgrade .,1,mixed
"like its two predecessors , 1983 's koyaanisqatsi and 1988 's powaqqatsi , the cinematic collage naqoyqatsi could be the most navel-gazing film ever .",0,mixed
does this ever happen to the cpu ?  rarely .,0,mixed
"they are cheerios ,  afterall ,  and we love the original kind .",0,mixed
"other reviews seemed more positive ,  but i just gave mine away .",0,mixed
i weep for the future when a good portion of the respected critical community in this country consider blue crush to be an intelligent film about young women .,0,mixed
it is hard to go to anything else now that i have used this .,1,mixed
this item does not provide full coverage as the picture suggests .,0,mixed
and it is very possible that these are good cables .,0,mixed
the backyard battles you staged with your green plastic army men were more exciting and almost certainly made more sense .,0,mixed
my cat just isn t at all interested in these springs .,0,mixed
"there 's not much more to this adaptation of the nick hornby novel than charm -- effortless , pleasurable , featherweight charm .",1,mixed
i figured this would be a great alternative to use during the six weeks .,0,mixed
i was hoping for a bit better than this from amazon .,0,mixed
you dont get so much sand with this .,0,mixed
"had anyone here done anything remotely intelligent , we all could have stopped watching long ago .",0,mixed
"crayola makes the best crayons ,  don t get me wrong .",0,mixed
this is honestly the only case i ve thrown away in the garbage .,0,mixed
"the low-budget full frontal was one of the year 's murkiest , intentionally obscure and self-indulgent pictures , and solaris is its big-budget brother .",0,mixed
"once glitch ,  which i did not view as all that negative .",1,mixed
"why come up with something even quasi-original , when you can pillage from shirley jackson , richard matheson ... and puke up something like rose red ?",0,mixed
"like most sequels , it takes what worked last time , repeats it and adds more characters , more stunts , more stuff in attempt to camouflage its sameness .",0,mixed
this is a good hoodie and well made .,0,mixed
"the film meant well in its horse tale about freedom , but was n't able to reach the heart because it was too overbearing .",0,mixed
scores a few points for doing what it does with a dedicated and good-hearted professionalism .,1,mixed
this does not appear to attract more mosquitos than the light does by itself .,0,mixed
there is n't a weak or careless performance amongst them .,1,mixed
it makes a buzzing sound when devices are plugged in .,0,mixed
"he enjoys this toy ,  but can get the treats out fairly quickly .",0,mixed
too bulky and there are better products out there in single units .,0,mixed
there 's plenty of style in guillermo del toro 's sequel to the 1998 hit but why do we need 117 minutes to tell a tale that simply ca n't sustain more than 90 minutes .,0,mixed
instead i would recommend cetaphil gentle cleanser and you will be fine .,0,mixed
the lid is the best part of the pot ensemble .,0,mixed
that is right up until one day the record feature stopped working .,0,mixed
a little too pat for its own good .,0,mixed
claritin used to be the best thing around .,0,mixed
it 's one of the saddest films i have ever seen that still manages to be uplifting but not overly sentimental .,1,mixed
i ll just stick with a good mayo and skip the bacon .,0,mixed
"like showdown : legends of wrestling , it has too many glitches to count .",0,mixed
"without a strong script and energetic acting , dogma films can produce the same sleep-inducing effects as watching your neighbor 's home videos .",0,mixed
"i kept thinking over and over again , ' i should be enjoying this . '",0,mixed
i first used it on my hands and fingers .,0,mixed
do not buy . i didn t expect much because of the cost .,0,mixed
does increase volume but does not feel nice to the touch .,0,mixed
"jason x has cheesy effects and a hoary plot , but its macabre , self-deprecating sense of humor makes up for a lot .",1,mixed
"the story is familiar from its many predecessors ; like them , it eventually culminates in the not-exactly - stunning insight that crime does n't pay .",0,mixed
"it almost fit ,  but not enough to snap completely together and fit .",0,mixed
demands too much of most viewers .,0,mixed
it 's a great deal of sizzle and very little steak .,0,mixed
amazon was good to give me a refund right away .,0,mixed
although once you go a little past halfway the quality gets a little worse .,1,mixed
i don t know why it has all the good reviews .,0,mixed
nothing plot-wise is worth e-mailing home about .,0,mixed
"it 's best to avoid imprisonment with the dull , nerdy folks that inhabit cherish .",0,mixed
because these knives will greatly appreciate on the collector s market .,0,mixed
a long slog for anyone but the most committed pokemon fan .,0,mixed
i hope it will be a better choice .,0,mixed
you 're better off staying home and watching the x-files .,0,mixed
"the makers of divine secrets of the ya-ya sisterhood should offer a free ticket -lrb- second prize , of course , two free tickets -rrb- to anyone who can locate a genuinely honest moment in their movie .",0,mixed
i have purchased fairly cheap holders from motorola and they lasted a while .,0,mixed
"never quite transcends jokester status ... and the punchline does n't live up to barry 's dead-eyed , perfectly chilled delivery .",0,mixed
it scrolls way too easily and way too smoothly .,0,mixed
the cartoon that is n't really good enough to be on afternoon tv is now a movie that is n't really good enough to be in theaters .,0,mixed
"this is a throwaway , junk-food movie whose rap soundtrack was better tended to than the film itself .",0,mixed
"kwan makes the mix-and - match metaphors intriguing , while lulling us into torpor with his cultivated allergy to action .",0,mixed
"with generic sets and b-grade special effects , jason is about as convincing on the sci-fi front as tv 's defunct cleopatra 2525 .",0,mixed
` enigma ' is a good name for a movie this delibrately obtuse and unapproachable .,0,mixed
the buttons to extend the arms worked exactly one time before breaking .,0,mixed
"it represents better-than-average movie-making that does n't demand a dumb , distracted audience .",1,mixed
"though avary has done his best to make something out of ellis ' nothing novel , in the end , his rules is barely worth following .",0,mixed
"what you get with empire is a movie you 've seen many times before , repackaged as new material because there is a latino in the lead .",0,mixed
culkin exudes none of the charm or charisma that might keep a more general audience even vaguely interested in his bratty character .,0,mixed
no need to find storage place because it fits in any shallow drawer .,1,mixed
"yes ,  they are light ,  and are not durable at all .",0,mixed
it was not as good as our much cheaper model .,0,mixed
"george , hire a real director and good writers for the next installment , please .",0,mixed
"the movie is well shot and very tragic , and one to ponder after the credits roll .",1,mixed
i would have hated to put disposable filters every time when using coffee maker .,1,mixed
"i doubt anyone will remember the picture by the time christmas really rolls around , but maybe it 'll be on video by then .",0,mixed
"the makers have forsaken the entertaining elements of the original and , instead , rehash old jokes and leave any life at the doorstep .",0,mixed
i had high hopes for this product since i bruise easily .,0,mixed
i felt i must have missed something if the reviews were so good .,0,mixed
"though ganesh is successful in a midlevel sort of way , there 's nothing so striking or fascinating or metaphorically significant about his career as to rate two hours of our attention .",0,mixed
"first things first ,  make sure you are ordering the right headset .",0,mixed
not the fastest but better than my other hot air brush .,0,mixed
"if you are grinding dry items ,  it should be ok .",0,mixed
"the problem , it is with most of these things , is the script .",0,mixed
i used the product for five days straight before running out .,0,mixed
"the film might have been more satisfying if it had , in fact , been fleshed out a little more instead of going for easy smiles .",0,mixed
"first of all ,  this will void whatever warranty you have with microsoft .",0,mixed
"first of all ,  syrup shouldn t run ,  it should ooze .",0,mixed
"of course in most sports games ,  graphics shouldn t matter .",0,mixed
these make great little night lights for the kids .,0,mixed
murder and mayhem of this sort quickly becomes monotonous .,0,mixed
certainly one of the more widely produced in the us .,0,mixed
"the kids thought it was great ,  but it got old pretty quick .",0,mixed
we purchased this so our daughter could have fun toy to play with .,0,mixed
"it didn t fit in my bathtub ,  which is a standard size .",0,mixed
and yet it is compact and not too heavy .,1,mixed
"being author wells ' great-grandson , you 'd think filmmaker simon wells would have more reverence for the material .",0,mixed
i ve had to repair it a few times as it s % plastic .,1,mixed
"there is not a character in the movie with a shred of plausibility , not an event that is believable , not a confrontation that is not staged , not a moment that is not false .",0,mixed
"it 's push-the-limits teen comedy , the type written by people who ca n't come up with legitimate funny , and it 's used so extensively that good bits are hopelessly overshadowed .",0,mixed
"also it gets very hot while plugged in ,  which freaked me out .",0,mixed
the cars that come with this garage are cute .,0,mixed
good for one day only . and opi test this product on animals .,0,mixed
"the charging light illuminates ,  but does not charge .",0,mixed
"cheap ,  low quality chicom scope with even cheaper ring mounts .",0,mixed
i love that it uses natural ingredients but it was ineffective on my skin .,0,mixed
"first ,  there is nothing about this to really write home about .",0,mixed
i pretreated the worst stains withwoolite pet stain .,1,mixed
i have both a square and round pan i use this with .,1,mixed
"so ,  this car looks cool and all but its not that great .",0,mixed
"a frantic search for laughs , with a hit-to-miss ratio that does n't exactly favour the audience .",0,mixed
the bowl is too light  we even had it on a rubber mat .,0,mixed
its good that its made in canada rather than china .,0,mixed
i thought that all of the possibilities would be awesome .,0,mixed
"it 's the kind of movie that ends up festooning u.s. art house screens for no reason other than the fact that it 's in french -lrb- well , mostly -rrb- with english subtitles and is magically ` significant ' because of that .",0,mixed
i have no idea why this is a cult favorite .,0,mixed
"clever , brutal and strangely soulful movie .",1,mixed
even the unwatchable soapdish is more original .,0,mixed
first of all i m not some raging halo .,0,mixed
i won t be buying any more in the future .,0,mixed
"while benigni -lrb- who stars and co-wrote -rrb- seems to be having a wonderful time , he might be alone in that .",0,mixed
"tablets charge slowly ,  but that s to be expected .",1,mixed
there was almost nothing i liked about this product .,0,mixed
this cord seemed like a deal and got good reviews .,0,mixed
"-lrb- i -rrb- f you 've been to more than one indie flick in your life , chances are you 've already seen this kind of thing .",0,mixed
"though the book runs only about 300 pages , it is so densely packed ... that even an ambitious adaptation and elaborate production like mr. schepisi 's seems skimpy and unclear .",0,mixed
"just one more collection of penis , breast and flatulence gags in search of a story .",0,mixed
"-lrb- director -rrb- byler may yet have a great movie in him , but charlotte sometimes is only half of one .",0,mixed
"the humor is hinged on the belief that knees in the crotch , elbows in the face and spit in the eye are inherently funny .",0,mixed
the impact of the armenian genocide is diluted by too much stage business in the modern day .,0,mixed
good that they are from usa and not china !  .,0,mixed
"fine acting but there is no sense of connecting the dots , just dots .",0,mixed
cho 's fans are sure to be entertained ; it 's only fair in the interest of full disclosure to say that -- on the basis of this film alone -- i 'm not one of them .,0,mixed
i thought the concept was good; scuffy thinks otherwise .,0,mixed
after all the great reviews i thought i d give this a try .,0,mixed
"like most bond outings in recent years , some of the stunts are so outlandish that they border on being cartoonlike .",0,mixed
nokia knows how to design a very good interface .,0,mixed
"really ,  it all does look nice graphically wise .",0,mixed
"might have been nice ,  but just went over my cheeks .",0,mixed
you can probably run them over with your car and still be okay .,0,mixed
"it may be an easy swipe to take , but this barbershop just does n't make the cut .",0,mixed
"first ,  i put them both under my tongue simultaneously .",0,mixed
the quality is declined quickly by heat exposure .,0,mixed
nightwolf s friendship is cool too where he juggles his hammers .,0,mixed
even those of a single digit age will be able to recognize that this story is too goofy ... even for disney .,0,mixed
the pair made in mexico is much better .,0,mixed
the real thing is nong shim shin noodle ramyun .,0,mixed
my first suggestion to anyone reading reviews on this product is to keep looking .,0,mixed
"leaves you with a knot in your stomach , its power is undercut by its own head-banging obviousness .",0,mixed
very well designed and easy to figure out .,0,mixed
no more oil on my hands when cooking up a steak or falafel .,1,mixed
i would suggest a more tropical flavor with chilled water .,0,mixed
"these spiders can outrun a motorcycle and wrap a person in a sticky cocoon in seconds , but they fall short of being interesting or entertaining .",0,mixed
"trivial where it should be profound , and hyper-cliched where it should be sincere .",0,mixed
"first ,  and surprising was that they have removeable sole inserts .",0,mixed
its tollable but thats not the best thing to say about headphones .,0,mixed
"opens at a funeral , ends on the protagonist 's death bed and does n't get much livelier in the three hours in between .",0,mixed
"if you 're looking for comedy to be served up , better look elsewhere .",0,mixed
"a gob of drivel so sickly sweet , even the eager consumers of moore 's pasteurized ditties will retch it up like rancid cr??me br??l??e .",0,mixed
"reggio 's trippy , ambitious downer can also sometimes come across like nothing more than a glorified nike ad .",0,mixed
... watching this film nearly provoked me to take my own life .,0,mixed
so i guess it s really a matter of preference .,0,mixed
my goof to not research this brand more .,0,mixed
with a couple of bucks you could make something a lot better yourself .,0,mixed
i could feel some of the grains even after much shaking .,0,mixed
the feel of the wheel is nice and i like the side scrolling feature .,0,mixed
the whole thing plays out with the drowsy heaviness of synchronized swimmer wearing a wool wetsuit .,0,mixed
"like dickens with his passages , mcgrath crafts quite moving scenes throughout his resolutely dramatic variation on the novel .",1,mixed
"those who would follow haneke on his creepy explorations ... are rewarded by brutal , committed performances from huppert and magimel .",1,mixed
